Date,Accor,Crédit agricole,Air liquide,Airbus,Danone,BNP Paribas,Bureau Veritas,Carrefour,Capgemini,Axa,Vinci,Dassault Systèmes,EssilorLuxottica,Bouygues,Engie,Euronext,Eurofins Scientific,Eiffage,Société générale,Thales,Kering,Legrand,LVMH,Michelin,MT.AS,L'Oréal,Orange,Publicis Groupe,Pernod Ricard,Hermès International,Renault,Safran,Sanofi,Saint-Gobain,Stellantis,STMicroelectronics,Schneider Electric,TotalEnergies,Unibail-Rodamco-Westfield,Veolia
2020-01-02,38.1701545715332,8.961939811706543,93.4524154663086,124.7593994140625,60.48655319213867,37.87433624267578,20.7484073638916,11.741654396057129,100.40872192382812,18.182151794433594,81.9850845336914,28.557607650756836,122.48155975341797,28.03131103515625,10.011056900024414,58.848655700683594,47.54585266113281,86.44645690917969,25.1402530670166,83.15106964111328,514.5966796875,65.14761352539062,380.1163330078125,22.209186553955078,14.534879684448242,242.3585662841797,8.871308326721191,31.958498001098633,134.27894592285156,639.1939697265625,38.16543197631836,132.26263427734375,71.4093017578125,32.23758316040039,3.3067209720611572,23.501550674438477,81.93768310546875,33.53435134887695,,18.430265426635742
2020-01-03,37.66743469238281,8.907563209533691,93.15738677978516,125.24526977539062,61.009830474853516,37.421939849853516,20.713287353515625,11.788714408874512,100.49913787841797,18.189292907714844,81.47595977783203,28.780559539794922,122.07835388183594,27.682830810546875,10.007650375366211,58.72992706298828,47.216331481933594,85.94409942626953,24.8861083984375,84.20679473876953,517.09228515625,65.02359771728516,380.0709533691406,22.076074600219727,14.011514663696289,242.08334350585938,8.928542137145996,32.03706359863281,134.99073791503906,643.385498046875,37.54603958129883,132.64710998535156,71.85254669189453,31.67537498474121,3.3067209720611572,23.30245590209961,81.72636413574219,33.91468811035156,,18.522689819335938
2020-01-06,36.78996276855469,8.819202423095703,92.53044891357422,124.7033462524414,61.12428665161133,37.23814392089844,20.590356826782227,11.788714408874512,98.826416015625,17.950054168701172,81.06538391113281,28.59638023376465,121.94395446777344,27.254484176635742,10.017868995666504,58.80908203125,46.56668472290039,85.06497955322266,24.683589935302734,85.0298843383789,508.4007873535156,64.97042083740234,376.4888000488281,22.065832138061523,13.778295516967773,241.2577667236328,8.881407737731934,32.2884521484375,134.99073791503906,638.0509033203125,37.664451599121094,131.15724182128906,72.30369567871094,31.379016876220703,3.3067209720611572,22.781049728393555,81.6207046508789,34.405818939208984,,18.41486167907715
2020-01-07,36.88136672973633,8.798810005187988,92.12476348876953,123.33912658691406,60.55196762084961,37.2240104675293,20.54645538330078,11.88283634185791,98.87162780761719,18.060745239257812,80.50698852539062,28.829030990600586,122.7951431274414,27.581186294555664,10.143901824951172,58.92780303955078,46.66083908081055,85.56732940673828,24.985382080078125,84.81517028808594,513.1337280273438,64.63379669189453,377.2596435546875,22.127273559570312,13.82971477508545,238.1388397216797,8.888140678405762,33.19976043701172,134.4464111328125,646.052734375,38.99432373046875,132.35874938964844,72.05042266845703,31.25263023376465,3.3067209720611572,23.349864959716797,81.28612518310547,34.18071746826172,,18.25312614440918
2020-01-08,36.92707061767578,8.839592933654785,92.19851684570312,125.56297302246094,59.3255500793457,37.308834075927734,20.66060447692871,11.898523330688477,98.60037994384766,18.05360221862793,82.05078887939453,29.178001403808594,124.45272064208984,27.566667556762695,10.130276679992676,59.75889205932617,46.077110290527344,86.90693664550781,25.231584548950195,86.04981231689453,513.9942626953125,64.52748107910156,379.7989196777344,22.577800750732422,13.993151664733887,239.60658264160156,8.82753849029541,33.14476776123047,133.52525329589844,651.7684326171875,38.83491516113281,132.16650390625,72.2957992553711,31.291854858398438,3.3067209720611572,23.321422576904297,81.49744415283203,34.2693977355957,,18.16070556640625
2020-01-09,37.09159469604492,8.846389770507812,92.56731414794922,126.06753540039062,59.44001388549805,37.040225982666016,20.7484073638916,11.910289764404297,98.60037994384766,18.03217887878418,81.22962188720703,29.556055068969727,126.46869659423828,27.566667556762695,10.089401245117188,60.629554748535156,45.90763473510742,86.57203674316406,25.24349594116211,86.33612823486328,512.7896118164062,64.50977325439453,384.9681091308594,22.680194854736328,13.956422805786133,241.0742950439453,8.854473114013672,33.01121520996094,133.73463439941406,654.4357299804688,38.324832916259766,134.04086303710938,72.81818389892578,31.108808517456055,3.3067209720611572,23.890243530273438,80.82827758789062,34.078399658203125,,18.29933738708496
2020-01-10,37.00019073486328,8.75123119354248,92.78858184814453,125.600341796875,59.35826110839844,36.870574951171875,20.581579208374023,11.77695083618164,99.68538665771484,18.107166290283203,81.64019012451172,29.85655975341797,126.33427429199219,27.31982421875,10.051932334899902,60.9857292175293,46.03944778442383,87.57674407958984,24.965530395507812,85.81719207763672,509.5194091796875,64.1554183959961,384.197265625,22.72115135192871,13.699332237243652,242.08334350585938,8.834272384643555,32.932655334472656,133.06466674804688,656.3408203125,38.11077880859375,133.1277313232422,73.3880615234375,30.699138641357422,3.3067209720611572,23.444665908813477,81.12763977050781,33.95902633666992,,18.753740310668945
2020-01-13,36.87222671508789,8.73763656616211,93.1205062866211,126.2544174194336,59.08026885986328,36.7079963684082,21.354267120361328,11.804402351379395,101.1772689819336,18.092884063720703,81.90296936035156,29.953495025634766,124.36312866210938,27.50858497619629,10.082589149475098,60.9857292175293,46.246578216552734,86.8232192993164,24.965530395507812,86.58662414550781,510.9825744628906,63.81878662109375,387.00860595703125,22.6904354095459,13.978461265563965,240.79910278320312,8.790506362915039,33.843955993652344,136.3306121826172,656.9124755859375,37.03594970703125,132.11842346191406,72.87358093261719,31.091373443603516,3.3067209720611572,23.653234481811523,80.881103515625,33.80555725097656,,18.776844024658203
2020-01-14,37.48462677001953,8.781817436218262,93.67369842529297,126.23573303222656,58.377132415771484,36.87763977050781,21.47719383239746,11.843619346618652,103.30207824707031,17.62868881225586,82.4449462890625,29.85655975341797,125.30388641357422,27.849811553955078,10.089401245117188,60.9857292175293,46.13359451293945,86.73949432373047,24.965530395507812,86.30032348632812,512.54052734375,64.50977325439453,390.86279296875,22.71091651916504,13.89582347869873,241.99159240722656,8.780405044555664,34.09535598754883,138.75909423828125,666.4383544921875,36.89021301269531,132.26263427734375,72.2403793334961,31.331079483032227,3.3067209720611572,23.766996383666992,81.55027770996094,33.53271484375,,19.084915161132812
2020-01-15,37.09159469604492,8.67646312713623,93.52617645263672,125.45085144042969,59.22744369506836,36.0223274230957,21.705488204956055,11.784793853759766,103.88980102539062,17.268043518066406,82.568115234375,30.25400161743164,127.31990051269531,27.711870193481445,10.150712966918945,60.90657424926758,46.67967224121094,87.2418441772461,24.580345153808594,86.1750717163086,514.704833984375,64.2794418334961,391.2709045410156,22.178466796875,13.475293159484863,247.12869262695312,8.773672103881836,33.81253433227539,140.05706787109375,675.01171875,36.43478012084961,133.84864807128906,72.5965576171875,30.877824783325195,3.3067209720611572,23.34038543701172,81.3037338256836,33.137088775634766,,19.362178802490234
